"Книга","Автор","Ссылка"
"Сто лет одиночества","Гарсиа Маркес, Габриэль","https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%BE_%D0%BB%D0%B5%D1%82_%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B0"
"Столпы Земли (роман)","Фоллетт, Кен","https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%BE%D0%BB%D0%BF%D1%8B_%D0%97%D0%B5%D0%BC%D0%BB%D0%B8_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Дэвид Копперфильд (роман)","Диккенс, Чарльз","https://ru.wikipedia.org/wiki/%D0%94%D1%8D%D0%B2%D0%B8%D0%B4_%D0%9A%D0%BE%D0%BF%D0%BF%D0%B5%D1%80%D1%84%D0%B8%D0%BB%D1%8C%D0%B4_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Чарли и шоколадная фабрика (повесть)","Даль, Роальд","https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D1%80%D0%BB%D0%B8_%D0%B8_%D1%88%D0%BE%D0%BA%D0%BE%D0%BB%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_%D1%84%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%B0_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)"
"Остров сокровищ","Стивенсон, Роберт Льюис","https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2_%D1%81%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%B8%D1%89"
"Доводы рассудка (роман)","Остин, Джейн","https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B2%D0%BE%D0%B4%D1%8B_%D1%80%D0%B0%D1%81%D1%81%D1%83%D0%B4%D0%BA%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Дюна (роман)","Герберт, Фрэнк","https://ru.wikipedia.org/wiki/%D0%94%D1%8E%D0%BD%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Эмма (роман, 1815)","Остин, Джейн","https://ru.wikipedia.org/wiki/%D0%AD%D0%BC%D0%BC%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD,_1815)"
"Аня из Зелёных Мезонинов","Монтгомери, Люси","https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%8F_%D0%B8%D0%B7_%D0%97%D0%B5%D0%BB%D1%91%D0%BD%D1%8B%D1%85_%D0%9C%D0%B5%D0%B7%D0%BE%D0%BD%D0%B8%D0%BD%D0%BE%D0%B2"
"Корабельный холм (книга)","Адамс, Ричард","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D1%85%D0%BE%D0%BB%D0%BC_(%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0)"
"Великий Гэтсби","Фицджеральд, Фрэнсис Скотт","https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%B8%D0%B9_%D0%93%D1%8D%D1%82%D1%81%D0%B1%D0%B8"
"Граф Монте-Кристо","Дюма, Александр (отец)","https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D1%84_%D0%9C%D0%BE%D0%BD%D1%82%D0%B5-%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%BE"
"Возвращение в Брайдсхед","Во, Ивлин","https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B2_%D0%91%D1%80%D0%B0%D0%B9%D0%B4%D1%81%D1%85%D0%B5%D0%B4"
"Скотный двор (повесть)","Джордж Оруэлл","https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%BE%D1%82%D0%BD%D1%8B%D0%B9_%D0%B4%D0%B2%D0%BE%D1%80_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)"
"Рождественская песнь в прозе","Диккенс, Чарльз","https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%B5%D1%81%D0%BD%D1%8C_%D0%B2_%D0%BF%D1%80%D0%BE%D0%B7%D0%B5"
"Вдали от обезумевшей толпы","Харди, Томас","https://ru.wikipedia.org/wiki/%D0%92%D0%B4%D0%B0%D0%BB%D0%B8_%D0%BE%D1%82_%D0%BE%D0%B1%D0%B5%D0%B7%D1%83%D0%BC%D0%B5%D0%B2%D1%88%D0%B5%D0%B9_%D1%82%D0%BE%D0%BB%D0%BF%D1%8B"
"Спокойной ночи, мистер Том","Магориан, Мишель","https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%BE%D0%BA%D0%BE%D0%B9%D0%BD%D0%BE%D0%B9_%D0%BD%D0%BE%D1%87%D0%B8,_%D0%BC%D0%B8%D1%81%D1%82%D0%B5%D1%80_%D0%A2%D0%BE%D0%BC"
"Таинственный сад (книга)","Бёрнетт, Фрэнсис Элиза","https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D1%81%D0%B0%D0%B4_(%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0)"
"О мышах и людях (новелла)","Стейнбек, Джон","https://ru.wikipedia.org/wiki/%D0%9E_%D0%BC%D1%8B%D1%88%D0%B0%D1%85_%D0%B8_%D0%BB%D1%8E%D0%B4%D1%8F%D1%85_(%D0%BD%D0%BE%D0%B2%D0%B5%D0%BB%D0%BB%D0%B0)"
"Противостояние (роман Стивена Кинга)","Кинг, Стивен Эдвин","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%82%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D1%8F%D0%BD%D0%B8%D0%B5_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD_%D0%A1%D1%82%D0%B8%D0%B2%D0%B5%D0%BD%D0%B0_%D0%9A%D0%B8%D0%BD%D0%B3%D0%B0)"
"Анна Каренина","Толстой, Лев Николаевич","https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BD%D0%B0_%D0%9A%D0%B0%D1%80%D0%B5%D0%BD%D0%B8%D0%BD%D0%B0"
"Большой и добрый великан (книга)","Даль, Роальд","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%BE%D0%B9_%D0%B8_%D0%B4%D0%BE%D0%B1%D1%80%D1%8B%D0%B9_%D0%B2%D0%B5%D0%BB%D0%B8%D0%BA%D0%B0%D0%BD_(%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0)"
"Артемис Фаул (серия романов)","Колфер, Оуэн","https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D0%B5%D0%BC%D0%B8%D1%81_%D0%A4%D0%B0%D1%83%D0%BB_(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D1%80%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2)"
"Преступление и наказание","Достоевский, Фёдор Михайлович","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B8_%D0%BD%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5"
"Мемуары гейши (роман)","Голден, Артур","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BC%D1%83%D0%B0%D1%80%D1%8B_%D0%B3%D0%B5%D0%B9%D1%88%D0%B8_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Повесть о двух городах","Диккенс, Чарльз","https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%BE_%D0%B4%D0%B2%D1%83%D1%85_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0%D1%85"
"Поющие в терновнике","Маккалоу, Колин","https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%8E%D1%89%D0%B8%D0%B5_%D0%B2_%D1%82%D0%B5%D1%80%D0%BD%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%B5"
"Мор, ученик Смерти","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80,_%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D0%BA_%D0%A1%D0%BC%D0%B5%D1%80%D1%82%D0%B8"
"Волхв (роман)","Фаулз, Джон Роберт","https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D1%85%D0%B2_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Благие знамения","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B0%D0%B3%D0%B8%D0%B5_%D0%B7%D0%BD%D0%B0%D0%BC%D0%B5%D0%BD%D0%B8%D1%8F"
"Стража! Стража!","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D0%B0%D0%B6%D0%B0!_%D0%A1%D1%82%D1%80%D0%B0%D0%B6%D0%B0!"
"Повелитель мух","Голдинг, Уильям Джералд","https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C_%D0%BC%D1%83%D1%85"
"Парфюмер. История одного убийцы (роман)","Зюскинд, Патрик","https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D1%84%D1%8E%D0%BC%D0%B5%D1%80._%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D1%83%D0%B1%D0%B8%D0%B9%D1%86%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Ночная стража (книга)","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%87%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%B6%D0%B0_(%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0)"
"Дневник Бриджит Джонс (роман)","Филдинг, Хелен","https://ru.wikipedia.org/wiki/%D0%94%D0%BD%D0%B5%D0%B2%D0%BD%D0%B8%D0%BA_%D0%91%D1%80%D0%B8%D0%B4%D0%B6%D0%B8%D1%82_%D0%94%D0%B6%D0%BE%D0%BD%D1%81_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Тайная история (роман)","Тартт, Донна","https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B9%D0%BD%D0%B0%D1%8F_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Женщина в белом (роман)","Коллинз, Уилки","https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BD%D1%89%D0%B8%D0%BD%D0%B0_%D0%B2_%D0%B1%D0%B5%D0%BB%D0%BE%D0%BC_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Улисс (роман)","Джойс, Джеймс","https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B8%D1%81%D1%81_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Холодный дом","Диккенс, Чарльз","https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B4%D0%BE%D0%BC"
"Горменгаст","Пик, Мервин","https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BC%D0%B5%D0%BD%D0%B3%D0%B0%D1%81%D1%82"
"О дивный новый мир","Хаксли, Олдос Леонард","https://ru.wikipedia.org/wiki/%D0%9E_%D0%B4%D0%B8%D0%B2%D0%BD%D1%8B%D0%B9_%D0%BD%D0%BE%D0%B2%D1%8B%D0%B9_%D0%BC%D0%B8%D1%80"
"В дороге (роман)","Керуак, Джек","https://ru.wikipedia.org/wiki/%D0%92_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B5_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Крёстный отец (роман)","Пьюзо, Марио","https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%91%D1%81%D1%82%D0%BD%D1%8B%D0%B9_%D0%BE%D1%82%D0%B5%D1%86_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Цвет волшебства","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%A6%D0%B2%D0%B5%D1%82_%D0%B2%D0%BE%D0%BB%D1%88%D0%B5%D0%B1%D1%81%D1%82%D0%B2%D0%B0"
"Алхимик (роман)","Коэльо, Пауло","https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%85%D0%B8%D0%BC%D0%B8%D0%BA_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Любовь во время холеры","Гарсиа Маркес, Габриэль","https://ru.wikipedia.org/wiki/%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%D0%B2%D0%BE_%D0%B2%D1%80%D0%B5%D0%BC%D1%8F_%D1%85%D0%BE%D0%BB%D0%B5%D1%80%D1%8B"
"Дети полуночи (роман)","Рушди, Салман","https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D1%82%D0%B8_%D0%BF%D0%BE%D0%BB%D1%83%D0%BD%D0%BE%D1%87%D0%B8_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Трое в лодке, не считая собаки","Джером, Джером Клапка","https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D0%B5_%D0%B2_%D0%BB%D0%BE%D0%B4%D0%BA%D0%B5,_%D0%BD%D0%B5_%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%8F_%D1%81%D0%BE%D0%B1%D0%B0%D0%BA%D0%B8"
"Мелкие боги","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D0%BA%D0%B8%D0%B5_%D0%B1%D0%BE%D0%B3%D0%B8"
"Пляж (роман)","Гарленд, Алекс","https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D1%8F%D0%B6_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Дракула (роман)","Стокер, Брэм","https://ru.wikipedia.org/wiki/%D0%94%D1%80%D0%B0%D0%BA%D1%83%D0%BB%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Посмертные записки Пиквикского клуба","Диккенс, Чарльз","https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%81%D0%BC%D0%B5%D1%80%D1%82%D0%BD%D1%8B%D0%B5_%D0%B7%D0%B0%D0%BF%D0%B8%D1%81%D0%BA%D0%B8_%D0%9F%D0%B8%D0%BA%D0%B2%D0%B8%D0%BA%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BA%D0%BB%D1%83%D0%B1%D0%B0"
"Осиная фабрика","Бэнкс, Иэн","https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%B8%D0%BD%D0%B0%D1%8F_%D1%84%D0%B0%D0%B1%D1%80%D0%B8%D0%BA%D0%B0"
"День Шакала (роман)","Форсайт, Фредерик","https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BD%D1%8C_%D0%A8%D0%B0%D0%BA%D0%B0%D0%BB%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Джуд Незаметный","Харди, Томас","https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D1%83%D0%B4_%D0%9D%D0%B5%D0%B7%D0%B0%D0%BC%D0%B5%D1%82%D0%BD%D1%8B%D0%B9"
"Отверженные","Гюго, Виктор Мари","https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5"
"Мэр Кэстербриджа","Харди, Томас","https://ru.wikipedia.org/wiki/%D0%9C%D1%8D%D1%80_%D0%9A%D1%8D%D1%81%D1%82%D0%B5%D1%80%D0%B1%D1%80%D0%B8%D0%B4%D0%B6%D0%B0"
"Портрет Дориана Грея","Уайльд, Оскар","https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%D0%94%D0%BE%D1%80%D0%B8%D0%B0%D0%BD%D0%B0_%D0%93%D1%80%D0%B5%D1%8F"
"Сёгун (роман)","Клавелл, Джеймс","https://ru.wikipedia.org/wiki/%D0%A1%D1%91%D0%B3%D1%83%D0%BD_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"День триффидов","Уиндем, Джон","https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BD%D1%8C_%D1%82%D1%80%D0%B8%D1%84%D1%84%D0%B8%D0%B4%D0%BE%D0%B2"
"Ярмарка тщеславия","Теккерей, Уильям Мейкпис","https://ru.wikipedia.org/wiki/%D0%AF%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D0%B0_%D1%82%D1%89%D0%B5%D1%81%D0%BB%D0%B0%D0%B2%D0%B8%D1%8F"
"Сага о Форсайтах","Голсуорси, Джон","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B3%D0%B0_%D0%BE_%D0%A4%D0%BE%D1%80%D1%81%D0%B0%D0%B9%D1%82%D0%B0%D1%85"
"Мрачный Жнец","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%9C%D1%80%D0%B0%D1%87%D0%BD%D1%8B%D0%B9_%D0%96%D0%BD%D0%B5%D1%86"
"Собака Баскервилей","Дойль, Артур Конан","https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B1%D0%B0%D0%BA%D0%B0_%D0%91%D0%B0%D1%81%D0%BA%D0%B5%D1%80%D0%B2%D0%B8%D0%BB%D0%B5%D0%B9"
"Обладать","Антония Сьюзен Байетт","https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BB%D0%B0%D0%B4%D0%B0%D1%82%D1%8C"
"Мастер и Маргарита","Булгаков, Михаил Афанасьевич","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D1%82%D0%B5%D1%80_%D0%B8_%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D1%82%D0%B0"
"Рассказ служанки","Этвуд, Маргарет","https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%81%D0%BA%D0%B0%D0%B7_%D1%81%D0%BB%D1%83%D0%B6%D0%B0%D0%BD%D0%BA%D0%B8"
"К востоку от рая (книга)","Стейнбек, Джон","https://ru.wikipedia.org/wiki/%D0%9A_%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D1%83_%D0%BE%D1%82_%D1%80%D0%B0%D1%8F_(%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0)"
"Вещие сестрички","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%89%D0%B8%D0%B5_%D1%81%D0%B5%D1%81%D1%82%D1%80%D0%B8%D1%87%D0%BA%D0%B8"
"Санта-Хрякус","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D1%82%D0%B0-%D0%A5%D1%80%D1%8F%D0%BA%D1%83%D1%81"
